experiment,date,participant,condition,age_num,gender,race,parent_income,pas,pets_now,pets_child,dog_discomfort,dog_ambivalence,dog_desire_to_interact,dog_comfort,duration_interaction,panas_pre_neg,panas_pre_pos,panas_post_neg,panas_post_pos,panas_pos_diff,panas_neg_diff,vas_anxiety_pre,vas_anxiety_post,vas_stress_pre,vas_stress_post,stai_trait,stai_state,drm_accuracy,drm_d_prime,ncpc_pre_diff,ncpc_post_diff,ncpc_diff,bds_index_pre,bds_index_post,bds_index_diff,nback_d_prime_pre,nback_d_prime_post,nback_d_prime_diff
1,2018-10-31T00:00:00Z,58,control,20,Female,Black,Preferred not to answer,3.9444444444444446,0,0,NA,NA,NA,NA,NA,1.2,3.1,1,2.8,-0.30000000000000027,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,5,0,-5,4,7,3,0.8198012483447011,-1.1371727928587594,-1.9569740412034604
1,2018-10-31T00:00:00Z,60,control,19,Female,White/Caucasian,$75000-$100000,6.611111111111111,1,1,NA,NA,NA,NA,NA,1,3.4,1,2.9,-0.5,0,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,0,-6,-6,7,8,1,-0.5165180073471349,0.5957175934622635,1.1122356008093983
1,2018-11-05T00:00:00Z,62,control,18,Female,White/Caucasian,> $100000,6.611111111111111,1,1,NA,NA,NA,NA,NA,1,3.9,1.2,3.9,0,0.19999999999999996,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,-2,0,2,3,9,6,-1.1985312596559892,-0.03260987276051269,1.1659213868954765
1,2018-11-07T00:00:00Z,64,control,18,Female,White/Caucasian,> $100000,5.333333333333333,1,1,NA,NA,NA,NA,NA,1.3,2.8,1.2,2.3,-0.5,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-1,-14,-13,9,9,0,1.3176809602214208,0.3886713345886889,-0.9290096256327318
1,2018-11-07T00:00:00Z,66,control,18,Female,White/Caucasian,$75000-$100000,5.777777777777778,1,1,NA,NA,NA,NA,NA,1.1,3.5,1.1,3.3,-0.20000000000000018,0,NA,NA,NA,NA,NA,NA,0.6666666666666666,-0.8855463711431761,8,-1,-9,NA,NA,NA,-3.0265602362069557,-3.7816516370280056,-0.7550914008210499
1,2018-11-07T00:00:00Z,68,control,18,Female,White/Caucasian,> $100000,6.333333333333333,1,1,NA,NA,NA,NA,NA,1.3,3,1.2,2.7,-0.2999999999999998,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.9166666666666666,2.023543547881002,-3,-2,1,6,8,2,1.4089443188955468,1.4670216433905727,0.058077324495025895
1,2018-11-12T00:00:00Z,70,control,20,Male,White/Caucasian,$75000-$100000,4.166666666666667,0,1,NA,NA,NA,NA,NA,2,4.2,2.3,4.6,0.39999999999999947,0.2999999999999998,NA,NA,NA,NA,NA,NA,0.6666666666666666,-0.581268680912855,-8,-15,-7,7,9,2,1.4089443188955468,1.4670216433905727,0.058077324495025895
1,2018-11-16T00:00:00Z,72,control,18,Female,White/Caucasian,$25000-$50000,5.388888888888889,0,0,NA,NA,NA,NA,NA,2,2.9,1.9,2.7,-0.19999999999999973,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-7,-4,3,8,9,1,0.7385031070827756,0.3906726192803547,-0.3478304878024209
1,2018-11-16T00:00:00Z,74,control,18,Female,White/Caucasian,$75000-$100000,5.444444444444445,1,1,NA,NA,NA,NA,NA,1,3.5,1.4,2.5,-1,0.3999999999999999,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,1,1,0,9,7,-2,0.2623126308922994,1.129343518179524,0.8670308872872245
1,2018-09-14T00:00:00Z,1,hai,20,Female,Other,$25000-$50000,4.555555555555555,1,1,3,1.5,3,2.3333333333333335,NA,1.2,2.7,1,2.3,-0.40000000000000036,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.6666666666666666,-0.8855463711431761,1,-1,-2,6,5,-1,-0.786885707419233,-0.2906078087770246,0.49627789864220845
